LOCATIONID;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts
12_2_15500;136039.610;535025.810;-3.840;136047.080;535025.130;-4.130;136048.573;535024.997;-4.815;136050.067;535024.863;-4.815;136051.560;535024.730;-3.700;136110.320;535019.430;-2.600;136127.750;535017.860;1.650;136133.230;535017.370;2.420;136138.710;535016.870;4.390;136138.710;535016.870;4.390;136141.200;535016.646;4.080;136141.200;535016.646;4.080;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136152.650;535015.620;-0.230;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136157.630;535015.170;-0.300
12_2_15600;136030.580;534926.430;-3.540;136037.550;534925.780;-3.860;136039.210;534925.627;-4.730;136040.870;534925.473;-4.730;136042.530;534925.320;-3.600;136102.280;534919.810;-2.500;136118.210;534918.340;1.470;136123.690;534917.840;2.360;136129.160;534917.330;4.380;136129.160;534917.330;4.380;136131.649;534917.100;4.320;136131.650;534917.100;4.320;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136143.600;534916.000;0.010;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136147.580;534915.630;-0.150
12_2_15700;136021.610;534827.000;-3.580;136028.700;534826.330;-3.670;136030.483;534826.163;-4.695;136032.267;534825.997;-4.695;136034.050;534825.830;-3.570;136091.300;534820.450;-2.730;136109.220;534818.770;1.430;136115.200;534818.210;2.440;136119.680;534817.790;4.050;136119.680;534817.790;4.050;136122.169;534817.556;4.159;136122.660;534817.510;4.090;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136138.590;534816.010;-0.150;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136139.090;534815.960;-0.280
12_2_15800;136012.350;534727.800;-3.600;136020.310;534727.030;-3.690;136021.557;534726.907;-4.477;136022.803;534726.783;-4.477;136024.050;534726.660;-3.760;136082.020;534721.000;-2.660;136100.430;534719.200;1.710;136105.900;534718.660;2.610;136110.880;534718.180;4.360;136110.880;534718.180;4.360;136113.368;534717.937;4.310;136113.370;534717.930;4.310;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136129.790;534716.330;-0.250;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136130.290;534716.280;-0.330
12_2_15900;136003.330;534627.110;-3.550;136010.800;534626.460;-3.520;136012.297;534626.333;-4.516;136013.793;534626.207;-4.516;136015.290;534626.080;-3.710;136072.570;534621.110;-2.580;136092.500;534619.380;1.920;136096.980;534619.000;2.710;136101.470;534618.610;4.370;136101.470;534618.610;4.370;136103.960;534618.390;4.420;136104.450;534618.350;4.330;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136120.390;534616.970;-0.090;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136121.390;534616.880;-0.310
12_2_16000;135994.410;534527.380;-3.430;136001.890;534526.750;-3.410;136003.383;534526.620;-4.464;136004.877;534526.490;-4.464;136006.370;534526.360;-3.720;136063.160;534521.520;-2.400;136082.090;534519.900;1.310;136087.570;534519.430;2.380;136092.560;534519.010;4.270;136092.560;534519.010;4.270;136095.050;534518.790;4.370;136095.050;534518.790;4.370;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136111.990;534517.350;-0.300;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136112.480;534517.300;-0.340
12_2_16100;135985.180;534427.730;-3.490;135993.150;534427.060;-3.750;135994.593;534426.933;-4.611;135995.617;534426.847;-4.611;135996.640;534426.760;-4.060;136054.930;534421.830;-2.430;136072.870;534420.320;1.350;136078.840;534419.810;2.660;136083.330;534419.430;4.290;136083.330;534419.430;4.290;136085.821;534419.219;4.360;136085.820;534419.220;4.360;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136098.770;534418.130;-0.110;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136103.470;534417.730;-0.320
12_2_16200;135976.390;534329.210;-3.480;135984.350;534328.450;-3.910;135985.680;534328.323;-4.697;135987.010;534328.197;-4.697;135988.340;534328.070;-3.880;136046.070;534322.550;-2.320;136060.510;534321.170;1.660;136069.470;534320.320;2.420;136074.440;534319.840;4.230;136074.440;534319.840;4.230;136076.929;534319.602;4.300;136077.930;534319.510;4.050;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136092.860;534318.090;-0.150;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136093.360;534318.040;-0.170
12_2_16300;135966.720;534227.520;-3.620;135974.700;534226.930;-3.730;135976.197;534226.820;-4.645;135977.693;534226.710;-4.645;135979.190;534226.600;-3.760;136035.530;534222.440;-2.760;136050.000;534221.370;1.190;136058.970;534220.710;2.570;136063.960;534220.340;4.340;136063.960;534220.340;4.340;136066.453;534220.156;4.540;136068.450;534220.010;4.240;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136080.410;534219.130;-0.110;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136083.900;534218.870;0.000
12_2_16400;135958.160;534130.020;-3.620;135966.120;534129.270;-3.820;135967.283;534129.157;-4.571;135968.447;534129.043;-4.571;135969.610;534128.930;-3.920;136026.350;534123.530;-2.770;136046.760;534121.580;1.790;136051.730;534121.110;2.570;136056.210;534120.680;4.200;136056.210;534120.680;4.200;136058.699;534120.443;4.280;136059.200;534120.400;4.150;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136070.650;534119.310;-0.160;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136075.630;534118.830;-0.140
