"TrajectID";"Variabele";"TimeIntegrationSchemeID"
"13-5";"Toetspeil";1
"13-5";"Q";1
"13-5";"Hs";1
"13-5";"Tp";1
"13-5";"Tm-1,0";1
"13-5";"HBN";1
"13-5";"Gras";1
"13-5";"KwHoogte";1
"13-5";"KwSluiten";1
"13-5";"KwPuntconstructies";1
"13-6";"Toetspeil";1
"13-6";"Q";2
"13-6";"Hs";1
"13-6";"Tp";1
"13-6";"Tm-1,0";1
"13-6";"HBN";1
"13-6";"Gras";1
"13-6";"KwHoogte";1
"13-6";"KwSluiten";1
"13-6";"KwPuntconstructies";1
"13-7";"Toetspeil";1
"13-7";"Q";2
"13-7";"Hs";1
"13-7";"Tp";1
"13-7";"Tm-1,0";1
"13-7";"HBN";1
"13-7";"Gras";1
"13-7";"KwHoogte";1
"13-7";"KwSluiten";1
"13-7";"KwPuntconstructies";1
"13-8";"Toetspeil";1
"13-8";"Q";2
"13-8";"Hs";1
"13-8";"Tp";1
"13-8";"Tm-1,0";1
"13-8";"HBN";1
"13-8";"Gras";1
"13-8";"KwHoogte";1
"13-8";"KwSluiten";1
"13-8";"KwPuntconstructies";1
"13-9";"Toetspeil";1
"13-9";"Q";2
"13-9";"Hs";1
"13-9";"Tp";1
"13-9";"Tm-1,0";1
"13-9";"HBN";1
"13-9";"Gras";1
"13-9";"KwHoogte";1
"13-9";"KwSluiten";1
"13-9";"KwPuntconstructies";1
"13a-1a";"Toetspeil";1
"13a-1a";"Q";2
"13a-1a";"Hs";1
"13a-1a";"Tp";1
"13a-1a";"Tm-1,0";1
"13a-1a";"HBN";1
"13a-1a";"Gras";1
"13a-1a";"KwHoogte";1
"13a-1a";"KwSluiten";1
"13a-1a";"KwPuntconstructies";1
"13a-1b";"Toetspeil";1
"13a-1b";"Q";2
"13a-1b";"Hs";1
"13a-1b";"Tp";1
"13a-1b";"Tm-1,0";1
"13a-1b";"HBN";1
"13a-1b";"Gras";1
"13a-1b";"KwHoogte";1
"13a-1b";"KwSluiten";1
"13a-1b";"KwPuntconstructies";1
"13a-1c";"Toetspeil";1
"13a-1c";"Q";2
"13a-1c";"Hs";1
"13a-1c";"Tp";1
"13a-1c";"Tm-1,0";1
"13a-1c";"HBN";1
"13a-1c";"Gras";1
"13a-1c";"KwHoogte";1
"13a-1c";"KwSluiten";1
