"TrajectID";"Variabele";"Min";"Max"
"34-2";"Hs";0.02;2.02
"34-2";"HBN";3.09;5.09
"34a-1";"Toetspeil";2.41;4.41
"34a-1";"HBN";2.98;4.98
"35-1";"Toetspeil";3.48;5.48
"35-1";"Hs";-0.13;1.87
"35-1";"HBN";3.83;5.83
"35-2";"Toetspeil";2.49;4.49
"35-2";"HBN";3.96;5.96
"36-1";"Toetspeil";13.31;15.76
"36-1";"Hs";-0.29;1.71
"36-1";"HBN";13.80;15.85
"36-2";"Toetspeil";10.83;12.90
"36-2";"Hs";-0.17;1.83
"36-2";"HBN";10.64;12.64
"36-3";"Toetspeil";8.66;10.71
"36-3";"Hs";-0.22;1.78
"36-3";"HBN";8.80;10.86
"36-4";"Toetspeil";6.46;8.67
"36-4";"Hs";0.12;2.12
"36-4";"HBN";6.64;8.97
"36-5";"Toetspeil";5.00;7.07
"36-5";"Hs";-0.01;1.99
"36-5";"HBN";5.17;7.25
"36a-1";"Toetspeil";10.56;12.79
"36a-1";"Hs";-0.33;1.67
"36a-1";"HBN";10.69;12.91
"37-1";"Toetspeil";4.87;6.92
"37-1";"Hs";0.02;2.02
"37-1";"HBN";5.06;7.17
"38-1";"Toetspeil";6.87;8.87
"38-1";"Hs";-0.00;2.00
"38-1";"HBN";7.13;9.13
"38-2";"Toetspeil";5.86;8.17
"38-2";"Hs";-0.04;1.96
"38-2";"HBN";6.21;8.43
"39-1";"Toetspeil";6.54;8.76
"39-1";"Hs";0.09;2.09
"39-1";"HBN";6.73;8.97
"40-1";"Toetspeil";8.97;10.97
"40-1";"Hs";0.01;2.01
"40-1";"HBN";9.32;11.41
"40-2";"Toetspeil";6.79;8.96
"40-2";"Hs";0.10;2.10
"40-2";"HBN";7.02;9.24
"41-1";"Toetspeil";13.03;15.03
"41-1";"Hs";-0.03;1.97
"41-1";"HBN";13.17;15.17
"41-2";"Toetspeil";10.55;12.55
"41-2";"Hs";0.05;2.05
"41-2";"HBN";10.83;12.83
"41-3";"Toetspeil";8.46;10.54
"41-3";"Hs";-0.04;1.96
"41-3";"HBN";8.66;10.79
"41-4";"Toetspeil";11.19;13.41
"41-4";"Hs";-0.17;1.83
"41-4";"HBN";11.39;13.59
"42-1";"Toetspeil";15.68;17.68
"42-1";"Hs";0.08;2.08
"42-1";"HBN";15.94;17.94
"43-1";"Toetspeil";6.60;8.60
"43-1";"Hs";-0.23;1.77
"43-1";"HBN";6.86;8.86
"43-2";"Toetspeil";9.31;11.31
"43-2";"Hs";-0.12;1.88
"43-2";"HBN";9.68;11.68
"43-3";"Toetspeil";12.88;14.88
"43-3";"Hs";-0.12;1.88
"43-3";"HBN";13.18;15.18
"43-4";"Toetspeil";13.81;15.81
"43-4";"Hs";0.08;2.08
"43-4";"HBN";14.16;16.16
"43-5";"Toetspeil";11.06;13.06
"43-5";"Hs";0.08;2.08
"43-5";"HBN";11.51;13.53
"43-6";"Toetspeil";7.59;9.59
"43-6";"Hs";-0.00;2.00
"43-6";"HBN";7.95;9.95
"44-1";"Toetspeil";6.66;8.66
"44-1";"Hs";-0.07;1.93
"44-1";"HBN";7.10;9.10
"44-2";"Toetspeil";0.13;2.13
"44-2";"Hs";-0.06;1.94
"44-2";"HBN";1.67;3.67
"45-1";"Toetspeil";10.30;12.30
"45-1";"Hs";-0.09;1.91
"45-1";"HBN";10.55;12.55
"45-2";"Toetspeil";1.00;3.00
"45-2";"Hs";-0.30;1.70
"45-2";"HBN";1.31;3.31
"46-1";"Toetspeil";1.00;3.00
"46-1";"Hs";-0.30;1.70
"46-1";"HBN";1.31;3.31
"47-1";"Toetspeil";10.45;12.45
"47-1";"Hs";-0.15;1.85
"47-1";"HBN";10.87;12.87
